num_step                                                    Cn                                                          p_real                                                      p_bar                                                       upperbound                                                  lowerbound                                                  
1                                                           4                                                           1.0                                                         1.0                                                         1.0                                                         1.0                                                         
2                                                           12                                                          0.75                                                        0.74981                                                     0.7506589197920406                                          0.7489610802079594                                          
3                                                           36                                                          0.5625                                                      0.562074                                                    0.5630464184377323                                          0.5611015815622676                                          
4                                                           100                                                         0.390625                                                    0.390894                                                    0.39185038336222616                                         0.3899376166377739                                          
5                                                           284                                                         0.27734375                                                  0.277586                                                    0.2784637036969385                                          0.2767082963030615                                          
6                                                           780                                                         0.1904296875                                                0.190309                                                    0.19107838796905605                                         0.18953961203094397                                         
7                                                           2172                                                        0.132568359375                                              0.132866                                                    0.13353128251458357                                         0.13220071748541645                                         
8                                                           5916                                                        0.09027099609375                                            0.090024                                                    0.09058498363654856                                         0.08946301636345146                                         
9                                                           16268                                                       0.0620574951171875                                          0.06218                                                     0.06265330509042283                                         0.06170669490957717                                         
10                                                          44100                                                       0.042057037353515625                                        0.041961                                                    0.04235398011964796                                         0.04156801988035204                                         
11                                                          120292                                                      0.028679847717285156                                        0.028571                                                    0.028897530929131214                                        0.028244469070868784                                        
12                                                          324932                                                      0.019367456436157227                                        0.019205                                                    0.019474000042551596                                        0.018935999957448404                                        
13                                                          881500                                                      0.013135373592376709                                        0.012926                                                    0.013147392550465905                                        0.012704607449534095                                        
14                                                          2374444                                                     0.008845493197441101                                        0.008914                                                    0.00909822478439213                                         0.00872977521560787                                         
15                                                          6416596                                                     0.005975920706987381                                        0.006005                                                    0.006156427473755458                                        0.0058535725262445415                                       
16                                                          17245332                                                    0.004015241749584675                                        0.003985                                                    0.00410848186315261                                         0.0038615181368473893                                       
17                                                          46466676                                                    0.002704716520383954                                        0.002672                                                    0.0027731796806384837                                       0.002570820319361516                                        
18                                                          124658732                                                   0.0018140233005397022                                       0.001814                                                    0.0018974027652203834                                       0.0017305972347796167                                       
19                                                          335116620                                                   0.0012191471614642069                                       0.001255                                                    0.00132439133507838                                         0.00118560866492162                                         
20                                                          897697164                                                   0.0008164508144545835                                       0.000773                                                    0.0008274725741322512                                       0.0007185274258677489                                       
21                                                          2408806028                                                  0.000547699080016173                                        0.000545                                                    0.0005907441903279531                                       0.000499255809672047                                        
22                                                          6444560484                                                  0.00036633085096582363                                      0.000378                                                    0.00041609955244915095                                      0.0003399004475508491                                       
23                                                          17266613812                                                 0.00024537334030583224                                      0.000224                                                    0.00025333130825378234                                      0.00019466869174621765                                      
24                                                          46146397316                                                 0.00016394493697191592                                      0.000175                                                    0.00020092609401741804                                      0.00014907390598258195                                      
25                                                          123481354908                                                0.00010967347466461774                                      8.9e-05                                                     0.00010748978016868778                                      7.051021983131221e-05                                       
26                                                          329712786220                                                7.321094535495121e-05                                       7.5e-05                                                     9.197346137356784e-05                                       5.802653862643214e-05                                       
27                                                          881317491628                                                4.892294856051471e-05                                       4.3e-05                                                     5.5852303174201896e-05                                      3.014769682579811e-05                                       
